Nome;Descrição;Categoria;Colaborador;Localização;Status;Empresa;Valor (€);Marca;Modelo;Número de Série;Data de Compra;Data de Garantia;Data de Criação;Última Atualização
TD Systems - Smart;TD Systems - Smart TV 32 Pulgadas, Television TDT HD, Android 11 ATV, Modelo 2024, Televisor con 3 años de garantía - PRIME32C19GLE;Equipamentos;;;Ativo;ProStoral;€ 129.89;TD Systems;;PS0085202510;08/12/2024;;16/10/2025;16/10/2025
HP EliteDesk 800 G3 Mini;HP EliteDesk 800 G3 Mini PC Ordenador de sobremesa Intel i5-6400T RAM 8GB SSD 240GB Windows 10 Pro (reacondicionado);Equipamentos;;;Ativo;ProStoral;€ 125.00;HP;;PS0086202510;08/12/2024;;16/10/2025;16/10/2025
HP EliteDesk 800 G3 Mini;HP EliteDesk 800 G3 Mini PC Ordenador de sobremesa Intel i5-6400T RAM 8GB SSD 240GB Windows 10 Pro (reacondicionado);Equipamentos;;;Ativo;ProStoral;€ 125.00;HP;;PS0087202510;08/12/2024;;16/10/2025;16/10/2025
HP EliteDesk 800 G3 Mini;HP EliteDesk 800 G3 Mini PC Ordenador de sobremesa Intel i5-6400T RAM 8GB SSD 240GB Windows 10 Pro (reacondicionado);Equipamentos;;;Ativo;ProStoral;€ 125.00;HP;;PS0088202510;08/12/2024;;16/10/2025;16/10/2025
MSI Pro Monitor de 23,8';MSI Pro MP245V Monitor Profesional, de 23,8' FHD, 1920 x 1080, 100 Hz, VA, Plano, Anti-Glare, 16:9, 300 nits, Negro;Equipamentos;;;Ativo;ProStoral;€ 79.17;MSI;;PS0089202510;08/12/2024;;16/10/2025;16/10/2025
MSI Pro Monitor de 23,8';MSI Pro MP245V Monitor Profesional, de 23,8' FHD, 1920 x 1080, 100 Hz, VA, Plano, Anti-Glare, 16:9, 300 nits, Negro;Equipamentos;;;Ativo;ProStoral;€ 79.17;MSI;;PS0090202510;08/12/2024;;16/10/2025;16/10/2025
Technology Disco Duro;"Seagate Technology IronWolf,2 TB, NAS, Disco Duro Interno,HDD,CMR 3.5"" SATA 6 GB/s,5900 RPM, caché de 256 MB para Almacenamiento Conectado a Red Raid,3 años de Rescue,Paquete Abre-fácil (ST2000VNZ03)";Equipamentos;;;Ativo;ProStoral;€ 80.98;Seagate Technology;;PS0091202510;08/12/2024;;16/10/2025;16/10/2025
Seagate IronWolf Pro, 8;Seagate IronWolf Pro, 8 TB, Enterprise HDD NAS interno - CMR, SATA a 6 Gb/s, 7200 RPM, caché de 256 MB para almacenamiento conectado a red RAID, servicios Rescue, Paquete Abre-fácil (ST8000NTZ01);Equipamentos;;;Ativo;ProStoral;€ 199.17;Seagate Technology;;PS0092202510;08/12/2024;;16/10/2025;16/10/2025
MSI Pro Monitor de 23,8';MSI Pro MP245V Monitor Profesional, de 23,8' FHD, 1920 x 1080, 100 Hz, VA, Plano, Anti-Glare, 16:9, 300 nits, Negro;Equipamentos;;;Ativo;ProStoral;€ 79.17;MSI;;PS0093202510;08/12/2024;;16/10/2025;16/10/2025
Poly Voyager 5200UC Wireless;Poly Voyager 5200UC Wireless Headset & Charging Cradle (Plantronics), Auricular de un solo oído (mono) con micrófono con cancelación de ruido - se conecta al móvil/mac/PC mediante Bluetooth;Equipamentos;;;Ativo;ProStoral;€ 107.43;POLY;;PS0094202510;06/12/2024;;16/10/2025;16/10/2025
Poly Voyager 5200UC Wireless;Poly Voyager 5200UC Wireless Headset & Charging Cradle (Plantronics), Auricular de un solo oído (mono) con micrófono con cancelación de ruido - se conecta al móvil/mac/PC mediante Bluetooth;Equipamentos;;;Ativo;ProStoral;€ 107.43;POLY;;PS0095202510;05/12/2024;;16/10/2025;16/10/2025
UBIQUITI UNIFI 24 SFP GEN2;Switch UBIQUITI USW-24 UNIFI Switch 24 SFP GEN2;Equipamentos;;;Ativo;ProStoral;€ 220.22;Ubiquiti;;PS0096202510;05/12/2024;;16/10/2025;16/10/2025
StarTech.com Rack de Servidores;StarTech.com Rack de Servidores Abierto de 15U de Pared - de 19 Pulgadas - de 2 Columnas - de Profundidad Ajustable - para Equipo de Redes - AV - de Servicio Pesado (RK15WALLOA);Equipamentos;;;Ativo;ProStoral;€ 155.26;StarTech.com;;PS0097202510;05/12/2024;;16/10/2025;16/10/2025
